| Jahr | Ereignis | Beschreibung |
|------|-----------|---------------|
| 1843 | **Froschregen** | Zeitzeugen berichteten, dass es im Juni minutenlang Frösche regnete, die später im Poppelsdorfer Schlossgraben Unterschlupf fanden. |
| 1912 | **Schneefall im Juli** | Ein einziger Schneeflockenniederschlag wurde auf dem Venusberg beobachtet – vermutlich Pollenflug. |
| 1965 | **Sahara-Sandregen** | Der Himmel färbte sich orange, Autos sahen aus wie Milchkaffee. Der ADAC nannte es den „Kaffee-Crash“. |
| 1978 | **Windhose über Beuel** | Eine Mini-Tornado-Formation hob angeblich drei Wurstbrötchen vom Jahrmarkt in die Luft. |
| 1989 | **Regenbogen-Dauerrekord** | Der längste dokumentierte Regenbogen über Bonn dauerte 7 Minuten 42 Sekunden. |
| 1999 | **„Bönnscher Fön“** | Lokale Meteorologen behaupteten, ein warmer Südwind habe die Kirschblüte um 4 Tage beschleunigt. Keine Beweise. |
| 2007 | **Hitzerekord +38,4 °C** | Offiziell gemessen an der Rheinaue, inoffiziell 52 °C im geparkten Golf III. |
| 2013 | **Feuchteste Woche seit Aufzeichnung** | 118 Liter/m² Regen – die Enten im Hofgarten forderten Anwohnerparkausweise. |
| 2020 | **Wolken in Herzform** | Von Satellitenbild bestätigt – wahrscheinlich Photoshop, aber romantisch. |
| 2024 | **KI-Wetterbericht** | Ein Algorithmus prognostizierte Schneesturm im August. Ergebnis: 32 °C und Sahneeis. |
